Group,No.,English,Latin,Portuguese_phon,Portuguese_ort,Portuguese_cog,Galician_phon,Galician_ort,Galician_cog,Castilian_phon,Castilian_ort,Castilian_cog,Catalan_phon,Catalan_ort,Catalan_cog,Asturian_phon,Asturian_ort,Asturian_cog,"Mirandese_
phon","Mirandese_
ort","Mirandese_
cog","Aragonese_
phon","Aragonese_
ort","Aragonese_
cog","Ladino_
phon","Ladino_
ort","Ladino_
cog"
VII,91,liver,iecur,,,,ˈfiɣɐðʊ,fígado,no,,,,,,,ˈfeɣaðu,fégadu,no,ˈfiɣɐðu,figado,no,fiˈgaðu,figado,no,fiɣaˈdo,figadó,no
VII,92,to drink,bibere,,,,beˈβeɾ,beber,yes,,,,,,,beˈβeɾ,beber,yes,buˈbeɾ,buber,yes,beˈbeɾ,beber,yes,beˈbeɾ,beber,yes
VII,93,to eat,edere/ēsse,,,,ko'meɾ,comer,no,,,,,,,ko'meɾ,comer,no,kuˈmeɾ,comer,no,minˈt͡ʃaɾ,minchar,no,koˈmeɾ,comer,no
VII,94,to bite,mordēre,,,,moɾˈðeɾ,morder,yes,,,,,,,moɾˈðeɾ,morder,yes,ɐˈðẽtaɾ,adentar,no,amoseˈɣaɾ,amosegar,no,moɾˈdeɾ,morder,yes
VII,95,to suck,sūgere,,,,t͡ʃuˈpaɾ,chupar,no,,,,,,,θuˈkaɾ,zucar,yes,t͡ʃuˈpaɾ,chupar,no,ʃuˈkaɾ,sucar,yes,t͡ʃuˈpaɾ,chupar,no
VII,96,to spit,spuere,,,,kusˈpiɾ,cuspir,yes,,,,,,,kuˈspiɾ,cuspir,yes,kusˈpiɾ,cuçpir,yes,eskuˈpiɾ,escupir,yes,eskuˈpeɾ,escuper,yes
VII,97,to vomit,vomere,,,,bomiˈtaɾ,vomitar,yes,,,,,,,deβolˈβeɾ,devolver,no,ɐɣɨmiˈtaɾ,aguemitar,yes,goˈmitaɾ,gomitar,yes,gomiˈtaɾ,gomitar,yes
VII,98,to blow,flāre,,,,soˈpɾaɾ,soprar,no,,,,,,,solˈpaɾ,solpar,no?,ɐʂuˈpɾaɾ,assoprar,no,esklaˈtaɾ,esclatar,no,eksploˈtaɾ,explotar,no
VII,99,to breathe,spīrāre,,,,respi'ɾaɾ,respirar,yes,,,,,,,alenˈdaɾ,alendar,no,rɨʂpiˈɾaɾ,respirar,yes,alenˈtaɾ,alentar,no,respiˈraɾ,respirar,yes
VII,100,to laugh,rīdēre,,,,riɾ,rir,yes,,,,,,,riɾ,rir,yes,riɾ,rir,yes,reˈdiɾ,redir,yes,reˈiɾ,reir,yes
VII,101,to see,vidēre,,,,beɾ,ver,yes,,,,,,,beɾ,ver,yes,beɾ,ber,yes,beˈjeɾ,veyer,yes,veɾ,ver,yes
VII,102,to hear,audīre,,,,ɔˈiɾ,oír,yes,,,,,,,oˈʝeɾ,oyer,yes,owˈbiɾ,oubir,yes,senˈtiɾ,sentir,no,eskuˈt͡ʃaɾ,escuchar,no
XIV,196,correct,rectus,kuˈʁetu,correto,No,koˈrɛkto̝,correcto,No,koˈrekto,correcto,No,kuˈrɛk.tə,correcte,No,ko'rewtu,correutu,No,,,,,,,,,
XIV,197,near,propinquus,ˈpeɾtu,perto,No,ˈθeɾka̝,cerca,No,θer ka,cerca,No,aˈpɾɔp,a prop,No,ˈθeɾ.ka,cerca,No,,,,,,,,,
XIV,198,far,longus,ˈɫõʒɨ,longe,Yes,ˈlonʃe̝,lonxe,No,le xos,lejos,No,ʎuɲ,lluny,No,ˈʎo(ŋ)ɲ.ʃe,llonxe,No,,,,,,,,,
XIV,199,rigth,dexter,diˈɾɐjtɐ,direita,No,deˈɾejta̝,dereita,No,de 're tʃa,derecha,No,ˈdɾɛ.tə,dreta,No,deˈɾe.t͡ʃa,derecha,No,,,,,,,,,
XIV,200,left,sinister,ʃˈkeɾdɐ,esquerda,No,esˈkeɾða̝,esquerda,No,iθ 'kjer ða,izquierda,No,əsˈkɛ.rə,esquerre,No,(e)ˈskjeɾ.ða,esquierda,No,,,,,,,,,
