,Source,,,,,
Grupo Lexical,VII,XIV,XIII,IV,I,III
Contribuidor,Fábio Granja,Gabriela,Inês Rocha,Marina,Marta,Nicolas
Language,,,,,,
Latin,"de Rezende, A. M., & Bianchet, S. B. (2014). Dicionário do Latim Essencial. Autêntica Editora.","Wilson, A. &. (2010). Essential latin dictionary. Teach Yourself. [Consultado: 25/05/2023]","Wilson, A & Asciutti. V. (2010) Essential latin dictionary. Teach Yourself [Consultado: 25/5/2023]",,"Wilson, Alastair. 2010. Essential Latin Dictionary. Teach Yourself","Castiglioni, Luigi, and Scevola Mariotti. Il vocabolario della lingua latina. Latino-italiano, italiano-latino-Guida all'uso. Loescher, (2019).
"
"Portuguese_
phon",,"Silva, T. C. (1999). Fonética e Fonologia do português: roteiro de estudos e guia de exercícios. Contexto [Consultado: 25/05/2023] ","Silva, T. C. (1999). Fonética e fonologia do português: roteiro de estudos e guia de exercícios. Contexto [Consultado: 28/5/2023]",Dicionário Fonético da Língua Portuguesa (Portal da Língua Portuguesa) Consultado em <http://www.portaldalinguaportuguesa.org/index.php?action=fonetica&&region=lbx&page=main> em 31/05/2023 ,"Cristófaro Silva, Thaïs. 2010. Fonética e Fonologia do Português: Roteiro de Estudos e Guia de Exercícios. São Paulo: Editora Contexto","Mulinacci, Roberto. Introduzione alla fonetica e fonologia del portoghese. Aracne, (2018)."
"Portuguese_
ort",,Dicionário da Língua Portuguesa. (2014). Porto Editora. [Consultado: 25/05/2023],Dicionário da língua portuguesa. (2012) Porto Editora [Consultado: 27/5/2023],"
Dicionário Fonético da Língua Portuguesa (Portal da Língua Portuguesa) <http://www.portaldalinguaportuguesa.org/index.php?action=fonetica&&region=lbx&page=main> [Consultado: 31/05/2023]",DIcionário Editora de Português-Inglês Acordo ortográfico. 2009. Porto Editora,"Silva, Maurício Pedro. Ortografia da língua portuguesa: história, discurso, representações. Editora Contexto, (2009)."
"Galician_
phon","Mato, X. R. F. (2006). Gramática da Lingua Galega: Fonética e Fonoloxía (Vol. 1). Edicións A Nosa Terra. ","Regueira, X. L. (2023). Dicionario de pronuncia da lingua galega. Santiago de Compostela: Instituto da Lingua Galega. Obtido de https://ilg.usc.es/pronuncia/[Consultado: 30/05/2023]","Regueira, Xosé Luís (dir.) (2023) Dicionario de pronuncia da lingua galega. Santiago de Compostela: Instituto da Lingua Galega. http://ilg.usc.gal/pronuncia/ [Consultado: 28/5/2023]",Xosé Luís Regueira (dir.): Dicionario de pronuncia da lingua galega. Santiago de Compostela: Instituto da Lingua Galega. <http://ilg.usc.gal/pronuncia/> [Consultado: 12/05/2023],"Regueira, Xosé Luís (dir.). 2023. Diccionario de pronuncia da lingua galega. Santiago de Compostela: Instituto da Lingua Galega. https://ilg.usc.es/pronuncia/ [Consultado: 26/05/2023]","www.realacademiagalega.org & Mariño, Ramón, and Ramón Mariño Paz. Fonética e fonoloxía históricas da lingua galega. Edicións Xerais de Galicia, (2017).
"
"Galician_
ort","Vikin, J. (2000). Galician - English, English - Galician Concise Dictionary. Hippocrene Books. ","González González, M. (. (s.d.). Dicionario da Real Academia Galega. A Coruña: Real Academia Galega. Obtido de https://academia.gal/dicionario [Consultado: 27/05/2023] ","Vikin, J. (2000). Galician-English, English-Galician (gallego) Concise Dictionary: Northwestern Spain. Hippocrene Books. [Consultado: 30/5/2023]","González González, M. (dir.): Dicionario da Real Academia Galega. A Coruña: Real Academia Galega. <https://academia.gal/dicionario> [Consultado: 12/05/2023]","González, M. (dir.). 2023. Diccionario da Real Academia Galega. A Coruña: Real Academia Galega. https://academia.gal/dicionario [Consultado: 26/05/2023]","Feixó Cid, Xosé G. Gramática da lingua galega: síntese práctica. Edicións Xerais de Galicia, (2004)."
Castilian_phon,,"Oliveira, L. d. (2018). Fonética e Fonologia da Língua Espanhola. [Consultado: 27/05/2023] ","Oliveira, L. d. (2018). Fonética e Fonologia da Língua Espanhola. [Consultado: 27/5/2023]",Ortografía básica de la Lengua Española. (2012). Real Academia Española. ,"de Oliveira, lara. 2018. Fonética e Fonologia da Língua Espanhola. UNIASSELVI","Quilis, Antonio. Principios de fonología y fonética españolas. Arco Libros, 1997."
Castilian_ort,,Diccionario de la lengua española. Vigesimotercera edición. (Edición del tricentinario) Real Academia Espoñola [Consultado: 27/05/2023],"Limited, D. K. (2015). Spanish English Bilingual Visual Dictionary. Dorling Kindersley Limited [Consultado: 28/5/2023]
Dicionário de Bolso Espanhol/Português - Português/Espanhol. (2010) Texto [Consultado: 31/5/2023]","Ortografía básica de la Lengua Española. (2012). Real Academia Española.
Dicionário de la Lengua Española (2022) Real Academia Española <https://dle.rae.es/>  [Consultado: 31/05/2023]",Dicionário de Bolso - Espanhol/Português - Português/Espanhol. 2010. Texto,"https://www.wordreference.com/   &  Gramática y ortografía básicas de la lengua española. Real Academia Española, (2019).
"
"Catalan_
phon",,Ortografia Catalana. (2017). Institut d'Estudis Catalans.[Consultado: 30/05/2023],"Freysselinard, E. (2002). Grammaire et vocabulaire du catalan. Ophrys. [Consultado: 28/5/2023]",,"Freysselinard, Eric. 2002. Grammaire et vocabulaire du catalan. OPHRYS","Prieto i Vives, Pilar. Fonètica i fonologia: els sons del català. Editorial UOC, (2004)."
"Catalan_
ort",,"Freysselinard, E. (2002). Grammaire et vocabulaire du catalan. Ophrys.[Consultado: 30/05/2023]",Diccionari de la llengua catalan (2017) Institut dˈEstudis Catalans [Consultado: 31/5/2023],,DACCO: The Open Source English-Catalan Dictionary. 2012. DACCO Team,"https://www.iec.cat/ & Badia, Joan, and Jordi Grifoll. Ortografia catalana. Castellnou Edicions, (2017).
"
"Asturian_
phon",Gramática de la Llingua Asturiana. (2001). Academia de la Llingua Asturiana.,"Asturiana, A. d. (2001). Academia de la Llingua Asturiana (3 ª edição ed.). Uviéu. [Consultado: 31/05/2023]","Asturiana, A. d. (2001). Gramática de la llingua asturiana. Academia de la Llingua Asturiana [Consultado: 26/5/2023]",Normes Ortográfiques. (2021). Academia de la Llingua Asturiana. ,Gramática de la Llingua Asturiana. 2001. Academia de la Lingua Asturiana,
"Asturian_
ort",Diccionariu de la Llingua Asturiana. (2001). Academia de la Llingua Asturiana.,"Asturiana, A. d. (2023). Diccionario de la Llingua Asturiana. Obtido de https://www.diccionariu.alladixital.org [Consultado: 31/05/2023]","Academia de la Llingua Asturiana (2023) Diccionariu de la Llingua Asturiana. https://www.diccionariu.alladixital.org [Consultado: 27/5/2023]
Academia de la Llingua Asturiana (1900) Gramática de la llingua asturiana [Consultado: 29/5/2023]",Academia de la Llingua Asturiana. (<2023>). Consultao n’ https://www.diccionariu.alladixital.org,Academia de la Llingua Asturiana. 2023. Diccionariu de la Llingua Asturiana. https://www.diccionariu.alladixital.org/ [Consultado: 26/05/2023],Asturian_ort
"Mirandese_
phon","Ferreira, M. B., Raposo, D. (1999). Convenção Ortográfica da Língua Mirandesa. Centro de Linguística Da Universidade de Lisboa. https://mirandadodouro.jfreguesia.com/images/stories/PDF/convencaomirandes.pdf; Quarteu, R., & Conde, X. F. (2002). L Mirandés: Ua Lhéngua Minoritaira an Pertual. Ianua 2.",,,"de, C. J. G. H., & Meirinhos, J. F. (2015). Fonologia Mirandesa: E Outros Estudos Sobre O mirandês.
Ferreira, M. B., & Domingos, R. (1999). Convenção Ortográfica da Língua Mirandesa. Consultado em https://mirandadodouro.jfreguesia.com/images/stories/PDF/convencaomirandes.pdf em 30/05/2023",,"Carvalho, José G. Herculano de. Fonologia mirandesa: e outros estudos sobre o mirandês. Frauga, (2015)."
